"interval_start","open","high","low","close","volume"
2020-04-09 08:00:00,5.102,8.065,2.206,2.448,39
2020-04-09 08:30:00,5.918,8.478,2.324,4.718,32
2020-04-09 09:00:00,5.652,10,1.667,6.012,2819
2020-04-09 09:30:00,3.878,9.348,2.449,5.128,45
2020-04-09 10:00:00,6.633,8.897,2.717,8.698,48
2020-04-09 10:30:00,3.265,8.974,0.25,7.135,48
2020-04-09 11:00:00,4.324,9.348,1.927,6.821,51
2020-04-09 11:30:00,1.531,10,1.531,5.25,56
2020-04-09 12:00:00,8.462,8.462,1.042,2.051,50
2020-04-09 12:30:00,8.776,8.776,1.667,5.652,43
2020-04-09 13:00:00,1.795,10,0.605,4.01,40
2020-04-09 13:30:00,5.217,9.422,0.323,5.217,45
2020-04-09 14:00:00,5.306,8.696,2.826,5,56
2020-04-09 14:30:00,7.436,9.758,1.613,6.364,41
2020-04-09 15:00:00,5.918,8.897,0.506,5.435,2952
2020-04-09 15:30:00,3.897,8.25,0.694,4.783,2523
2020-04-09 16:00:00,8.205,8.734,0.694,4.596,2527
2020-04-09 16:30:00,6.739,10,0.906,6.25,2222
2020-04-09 17:00:00,3.59,9.032,0.833,7.708,1811
2020-04-09 17:30:00,5.897,8.456,0.925,4.963,809
2020-04-09 18:00:00,6.667,9,0.694,5.147,588
2020-04-09 18:30:00,7.436,9.593,0.925,4.779,396
2020-04-09 19:00:00,5.102,10,1.266,5.147,293
2020-04-09 19:30:00,7.568,8.75,1.013,5.331,229
2020-04-09 20:00:00,6.304,8.418,1.449,5.331,148
2020-04-09 20:30:00,2.857,8.776,1.268,4.963,112
2020-04-09 21:00:00,3.333,8.696,1.63,4.779,95
2020-04-09 21:30:00,6.154,10,1.268,5.331,85
2020-04-09 22:00:00,4.324,8.78,1.812,4.963,62
2020-04-09 22:30:00,4.103,10,1.458,5.435,50
2020-04-09 23:00:00,3.741,9.051,2.312,5.435,56
2020-04-09 23:30:00,2.984,8.456,2.449,6.087,54
2020-04-10,5.102,10,0.6,3.6,51
2020-04-10 00:30:00,6.649,9.367,0.75,4.044,42
2020-04-10 01:00:00,3.952,8.25,2,5.253,36
2020-04-10 01:30:00,5.217,9.051,2.121,4.596,34
2020-04-10 02:00:00,8.718,9.338,0.823,1.795,34
2020-04-10 02:30:00,3.265,8.958,0.833,7.083,1215
2020-04-10 03:00:00,4.615,8.696,2.667,4.783,47
2020-04-10 03:30:00,3.469,8,1.667,7.273,56
2020-04-10 04:00:00,3.487,9.516,0.606,6.821,38
2020-04-10 04:30:00,6.613,10,2.564,6.4,35
2020-04-10 05:00:00,3.75,8.79,2.197,6.5,33
2020-04-10 05:30:00,3.623,9,1.282,7.083,43
2020-04-10 06:00:00,5.641,7.966,2.256,7.396,43
2020-04-10 06:30:00,8.043,8.958,1.146,6.75,40
2020-04-10 07:00:00,6.667,9.565,2.2,2.941,52
2020-04-10 07:30:00,4.286,8.456,1.2,3.897,31
2020-04-10 08:00:00,6.122,10,1.146,6.243,68
2020-04-10 08:30:00,7.794,9.744,1.927,7.917,45
2020-04-10 09:00:00,6.923,10,2.821,4.167,31
2020-04-10 09:30:00,2.051,8.177,2.051,5.25,42
2020-04-10 10:00:00,2.917,9.25,1.927,7.5,39
2020-04-10 10:30:00,5.128,9.25,2.564,3.699,35
2020-04-10 11:00:00,5.51,8.958,3,3.931,37
2020-04-10 11:30:00,3.804,8.79,0.365,5.758,43
