"date","timestamp","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity","location"
2020-04-09,"11:45:00",6,10,8,3,2,NA,1
2020-04-06,"07:15:00",5,4,8,2,2,NA,1
2020-04-09,"08:00:00",10,1,10,1,3,NA,1
2020-04-09,"08:30:00",5,10,3,7,4,NA,1
2020-04-07,"01:15:00",9,6,7,10,10,NA,1
2020-04-06,"15:30:00",4,2,8,10,5,NA,1
2020-04-07,"13:50:00",6,5,5,8,8,NA,1
2020-04-07,"19:40:00",5,4,7,10,5,NA,1
2020-04-08,"20:25:00",10,10,2,10,1,NA,1
2020-04-08,"04:40:00",1,10,7,7,6,NA,1
2020-04-10,"22:35:00",3,9,8,5,1,1,1
2020-04-06,"12:15:00",3,1,0,7,9,NA,1
2020-04-07,"01:05:00",10,5,7,10,6,NA,1
2020-04-06,"19:20:00",8,9,4,7,1,NA,1
2020-04-09,"06:20:00",9,4,8,1,5,NA,1
2020-04-07,"06:25:00",5,5,4,5,6,NA,1
2020-04-08,"07:55:00",5,7,4,6,2,NA,1
2020-04-07,"05:20:00",6,4,10,10,2,NA,1
2020-04-06,"19:05:00",0,4,0,5,10,0,1
2020-04-06,"13:15:00",9,2,4,8,9,NA,1
2020-04-09,"06:45:00",7,10,10,10,2,NA,1
2020-04-06,"16:35:00",5,2,8,8,8,0,1
2020-04-06,"23:35:00",1,1,0,1,6,NA,1
2020-04-07,"20:15:00",5,3,0,5,3,0,1
2020-04-10,"02:30:00",6,0,4,2,4,NA,1
2020-04-06,"11:40:00",10,10,7,9,10,NA,1
2020-04-10,"04:35:00",10,1,3,5,1,1,1
2020-04-06,"11:30:00",10,9,7,1,6,1,1
2020-04-10,"21:10:00",6,1,7,8,6,NA,1
2020-04-08,"08:15:00",8,6,2,1,8,0,1
2020-04-10,"21:15:00",7,9,10,10,8,NA,1
2020-04-09,"00:35:00",5,8,2,7,8,NA,1
2020-04-09,"16:45:00",10,6,1,10,5,NA,1
2020-04-06,"04:40:00",10,3,7,8,2,NA,1
2020-04-07,"09:55:00",3,0,10,5,2,NA,1
2020-04-06,"14:25:00",10,7,0,0,5,NA,1
2020-04-07,"11:30:00",2,10,7,1,9,NA,1
2020-04-06,"14:15:00",9,3,5,9,5,1,1
2020-04-07,"14:10:00",10,10,9,5,4,NA,1
2020-04-08,"01:45:00",9,10,7,1,10,NA,1
2020-04-06,"07:40:00",3,2,1,4,10,NA,1
2020-04-09,"11:05:00",2,5,1,10,1,NA,1
2020-04-08,"20:00:00",5,9,2,9,10,NA,1
2020-04-07,"07:50:00",10,7,4,8,10,NA,1
2020-04-08,"14:45:00",4,3,1,2,1,NA,1
2020-04-06,"11:15:00",1,4,4,8,8,0,1
2020-04-08,"21:05:00",5,7,5,3,8,NA,1
2020-04-10,"15:30:00",8,6,8,3,3,NA,1
2020-04-07,"14:15:00",3,7,2,10,0,NA,1
2020-04-09,"08:05:00",5,3,1,7,10,NA,1
2020-04-06,"15:50:00",8,6,6,4,9,NA,1
2020-04-09,"14:00:00",4,9,3,8,2,NA,1
2020-04-07,"10:45:00",10,3,0,3,9,NA,1
2020-04-06,"22:00:00",1,7,3,3,3,NA,1
2020-04-08,"22:25:00",7,1,9,1,6,NA,1
2020-04-06,"02:25:00",8,10,5,7,4,NA,1
2020-04-10,"03:30:00",1,3,1,5,7,NA,1
2020-04-06,"00:35:00",2,10,3,5,5,NA,1
2020-04-09,"09:20:00",1,7,7,7,5,NA,1
2020-04-07,"08:25:00",1,8,1,10,3,NA,1
2020-04-09,"16:15:00",7,10,1,7,8,NA,1
2020-04-10,"19:30:00",5,8,7,3,10,NA,1
2020-04-07,"05:50:00",10,4,9,10,7,NA,1
2020-04-08,"21:10:00",0,5,4,2,10,NA,1
2020-04-08,"23:05:00",4,3,2,1,1,NA,1
2020-04-08,"20:40:00",1,6,10,10,10,NA,1
2020-04-07,"02:45:00",1,9,0,2,7,NA,1
2020-04-10,"18:20:00",6,6,10,10,5,NA,1
2020-04-08,"05:40:00",6,10,3,9,10,NA,1
2020-04-10,"05:35:00",0,2,2,5,4,NA,1
2020-04-09,"11:55:00",2,9,4,8,10,0,1
2020-04-07,"11:40:00",3,3,0,8,0,NA,1
2020-04-10,"01:40:00",7,5,0,8,5,NA,1
2020-04-07,"23:35:00",9,7,10,2,10,1,1
2020-04-10,"09:45:00",2,10,9,2,10,0,1
2020-04-08,"21:45:00",10,9,10,10,10,NA,1
2020-04-10,"09:50:00",4,10,3,10,7,NA,1
2020-04-09,"11:05:00",9,0,8,10,10,NA,1
2020-04-09,"15:00:00",0,10,3,8,8,NA,1
2020-04-08,"12:10:00",6,7,0,4,10,NA,1
2020-04-10,"18:45:00",9,10,4,1,1,NA,1
2020-04-09,"05:15:00",2,1,4,1,6,NA,1
2020-04-08,"02:50:00",4,2,0,10,10,NA,1
2020-04-09,"00:45:00",7,5,2,0,10,NA,1
2020-04-06,"02:20:00",3,0,10,10,6,NA,1
2020-04-07,"12:10:00",0,5,5,10,9,NA,1
2020-04-09,"07:15:00",5,8,5,2,0,NA,1
2020-04-07,"10:50:00",4,9,8,10,2,1,1
2020-04-09,"02:10:00",0,8,2,1,8,NA,1
2020-04-08,"03:25:00",2,2,7,7,6,NA,1
2020-04-06,"16:15:00",3,10,10,0,6,NA,1
2020-04-07,"11:50:00",1,5,3,10,10,NA,1
2020-04-08,"20:25:00",7,3,6,2,10,NA,1
2020-04-08,"22:55:00",10,1,1,9,3,NA,1
2020-04-08,"20:55:00",1,7,0,10,4,NA,1
2020-04-09,"06:25:00",3,3,2,3,4,NA,1
2020-04-09,"06:15:00",10,10,2,4,4,1,1
2020-04-08,"03:45:00",4,8,5,9,1,NA,1
2020-04-10,"11:35:00",10,5,5,10,4,NA,1
2020-04-07,"20:05:00",1,10,1,10,10,NA,1
2020-04-08,"04:20:00",7,5,10,3,3,0,1
2020-04-10,"11:00:00",4,1,2,0,8,NA,1
2020-04-10,"00:45:00",0,10,10,0,10,NA,1
2020-04-09,"12:30:00",10,9,8,6,10,NA,1
2020-04-06,"12:00:00",2,7,7,4,9,NA,1
2020-04-10,"14:20:00",10,10,3,3,2,NA,1
2020-04-09,"13:45:00",7,10,7,3,1,NA,1
2020-04-10,"23:50:00",4,2,3,1,7,NA,1
2020-04-06,"17:55:00",0,1,1,0,8,1,1
2020-04-10,"08:10:00",2,0,0,7,3,NA,1
2020-04-06,"19:30:00",6,1,1,8,3,NA,1
2020-04-09,"01:50:00",9,0,0,10,9,NA,1
2020-04-06,"14:50:00",2,1,8,6,0,NA,1
2020-04-10,"05:45:00",4,1,8,10,7,NA,1
2020-04-10,"00:55:00",9,6,10,2,7,NA,1
2020-04-08,"20:20:00",9,8,5,8,5,NA,1
2020-04-08,"00:50:00",5,8,3,8,3,NA,1
2020-04-06,"08:20:00",4,10,10,9,10,NA,1
2020-04-09,"11:40:00",10,3,10,6,7,NA,1
2020-04-08,"06:25:00",4,2,3,4,8,NA,1
2020-04-09,"14:40:00",9,0,1,1,5,NA,1
2020-04-10,"08:00:00",10,7,0,8,5,NA,1
2020-04-10,"21:05:00",8,4,6,5,1,NA,1
2020-04-10,"06:40:00",1,6,1,4,7,NA,1
2020-04-06,"01:25:00",5,0,6,3,6,1,1
2020-04-07,"19:10:00",7,5,9,10,1,NA,1
2020-04-09,"15:35:00",0,3,5,5,8,NA,1
2020-04-06,"20:35:00",10,3,10,7,10,NA,1
2020-04-08,"14:30:00",1,9,7,6,1,NA,1
2020-04-06,"06:30:00",10,10,0,10,2,0,1
2020-04-07,"00:00:00",3,4,10,10,0,0,1
2020-04-06,"02:15:00",9,9,1,6,2,NA,1
2020-04-09,"23:15:00",2,0,4,9,10,NA,1
2020-04-07,"02:50:00",8,6,9,3,10,NA,1
2020-04-07,"17:25:00",2,5,5,3,4,1,1
2020-04-10,"15:20:00",4,3,1,2,4,NA,1
2020-04-09,"12:30:00",8,0,6,7,8,NA,1
2020-04-06,"03:50:00",2,0,10,3,4,NA,1
2020-04-06,"19:45:00",9,1,5,9,7,NA,1
2020-04-09,"02:35:00",8,2,4,9,5,1,1
2020-04-08,"21:15:00",7,0,4,5,2,NA,1
2020-04-07,"04:35:00",10,10,4,9,3,NA,1
2020-04-10,"16:05:00",10,10,7,8,0,NA,1
2020-04-09,"01:40:00",8,2,2,3,7,NA,1
2020-04-08,"16:15:00",2,2,2,10,9,NA,1
2020-04-08,"22:45:00",3,9,6,10,10,NA,1
2020-04-09,"15:35:00",3,6,5,8,6,NA,1
2020-04-07,"13:25:00",6,7,10,5,9,NA,1
2020-04-07,"23:45:00",0,10,10,10,8,NA,1
2020-04-07,"01:10:00",10,8,10,9,1,NA,1
2020-04-06,"22:20:00",3,9,10,0,10,NA,1
2020-04-10,"17:20:00",6,10,3,7,7,NA,1
2020-04-09,"16:45:00",10,8,0,0,6,NA,1
2020-04-08,"10:50:00",3,2,8,1,8,NA,1
2020-04-07,"03:15:00",9,4,8,6,4,NA,1
2020-04-07,"06:30:00",6,7,1,6,3,1,1
2020-04-06,"07:00:00",3,7,8,10,5,NA,1
2020-04-08,"04:10:00",2,10,7,10,10,0,1
2020-04-07,"13:25:00",2,5,5,4,2,0,1
2020-04-09,"11:35:00",2,10,7,10,0,NA,1
2020-04-07,"21:20:00",6,7,9,5,1,NA,1
2020-04-06,"21:35:00",4,10,4,7,4,NA,1
2020-04-06,"03:00:00",10,2,0,10,10,NA,1
2020-04-06,"08:05:00",6,4,7,10,0,NA,1
2020-04-09,"09:30:00",0,1,2,6,10,NA,1
2020-04-08,"06:25:00",4,1,3,0,5,NA,1
2020-04-08,"16:25:00",9,1,9,1,8,NA,1
2020-04-10,"11:35:00",2,7,5,10,3,NA,1
2020-04-10,"22:50:00",1,9,4,10,9,NA,1
2020-04-07,"02:00:00",6,0,0,10,1,NA,1
2020-04-09,"07:35:00",1,9,10,6,5,1,1
2020-04-07,"07:35:00",7,10,10,6,10,NA,1
2020-04-06,"02:30:00",5,0,4,4,10,NA,1
2020-04-09,"19:00:00",6,2,5,2,10,NA,1
2020-04-07,"14:25:00",1,1,10,2,9,NA,1
2020-04-07,"22:00:00",10,4,8,10,0,NA,1
2020-04-08,"22:35:00",6,6,1,4,8,NA,1
2020-04-10,"03:45:00",6,0,4,10,10,NA,1
2020-04-09,"03:30:00",6,6,8,4,1,NA,1
2020-04-10,"08:45:00",6,6,0,3,6,1,1
2020-04-07,"08:50:00",10,10,1,1,9,NA,1
2020-04-09,"23:45:00",2,2,1,0,7,NA,1
2020-04-06,"22:15:00",5,8,8,6,10,NA,1
2020-04-10,"18:20:00",2,6,9,6,1,NA,1
2020-04-09,"10:30:00",2,6,4,0,4,NA,1
2020-04-07,"01:50:00",3,5,9,9,10,NA,1
2020-04-10,"17:40:00",2,2,0,8,9,NA,1
2020-04-09,"15:40:00",9,5,3,9,8,NA,1
2020-04-07,"06:30:00",3,0,0,5,10,NA,1
2020-04-07,"01:35:00",8,10,7,2,10,NA,1
2020-04-08,"14:10:00",5,3,0,9,6,1,1
2020-04-06,"03:05:00",4,9,8,8,7,NA,1
2020-04-07,"00:55:00",5,9,10,4,5,0,1
2020-04-08,"03:00:00",10,7,1,4,7,NA,1
2020-04-07,"20:55:00",1,10,2,0,8,NA,1
2020-04-08,"07:40:00",10,10,8,10,10,NA,1
2020-04-07,"09:20:00",5,0,5,10,10,NA,1
2020-04-08,"22:25:00",8,10,8,2,10,NA,1
2020-04-10,"07:40:00",2,4,2,5,5,NA,1
2020-04-06,"14:05:00",9,1,1,7,1,NA,1
2020-04-08,"14:05:00",9,3,3,7,4,NA,1
2020-04-06,"15:50:00",5,5,5,1,7,NA,1
2020-04-09,"14:00:00",6,7,0,3,8,NA,1
2020-04-07,"23:30:00",4,6,2,2,7,NA,1
2020-04-08,"19:50:00",0,10,5,0,7,NA,1
2020-04-06,"22:00:00",8,10,8,3,9,1,1
2020-04-06,"17:25:00",10,2,6,2,9,NA,1
2020-04-08,"10:35:00",5,7,2,2,0,NA,1
2020-04-07,"18:40:00",5,3,7,10,6,0,1
2020-04-10,"16:50:00",5,4,7,2,3,1,1
2020-04-09,"19:50:00",10,9,1,3,7,NA,1
2020-04-09,"17:50:00",1,7,10,5,2,NA,1
2020-04-10,"12:25:00",0,0,8,10,6,1,1
2020-04-06,"10:00:00",0,0,4,1,3,NA,1
2020-04-08,"18:15:00",0,1,9,7,5,NA,1
2020-04-08,"22:10:00",0,8,10,10,8,NA,1
2020-04-10,"19:25:00",10,3,3,5,9,NA,1
2020-04-07,"11:05:00",0,5,3,10,5,NA,1
2020-04-07,"04:55:00",10,10,2,3,10,NA,1
2020-04-06,"12:00:00",7,0,9,10,0,NA,1
2020-04-06,"02:00:00",6,1,0,10,10,NA,1
2020-04-10,"15:35:00",3,10,10,9,6,NA,1
2020-04-09,"08:25:00",5,1,4,10,9,NA,1
2020-04-09,"22:15:00",4,3,6,3,10,NA,1
2020-04-07,"09:50:00",3,7,4,10,1,NA,1
2020-04-08,"22:20:00",4,9,3,0,4,NA,1
2020-04-06,"07:40:00",5,3,2,6,10,NA,1
2020-04-08,"10:15:00",10,7,3,3,7,NA,1
2020-04-10,"21:20:00",1,0,1,6,5,NA,1
2020-04-10,"09:10:00",3,2,1,10,2,NA,1
2020-04-07,"16:35:00",6,4,2,9,10,0,1
2020-04-10,"19:25:00",7,10,10,5,6,NA,1
2020-04-07,"03:50:00",4,4,7,1,4,1,1
2020-04-10,"17:55:00",0,6,2,9,10,NA,1
2020-04-10,"17:00:00",0,0,7,3,7,NA,1
2020-04-09,"23:55:00",7,1,0,10,3,NA,1
2020-04-09,"03:40:00",10,7,1,3,6,NA,1
2020-04-10,"08:55:00",3,6,8,9,10,NA,1
2020-04-07,"11:10:00",3,5,0,10,10,NA,1
2020-04-10,"05:50:00",0,5,10,7,7,NA,1
2020-04-09,"02:10:00",0,7,5,8,10,NA,1
2020-04-06,"01:35:00",9,10,2,4,0,NA,1
2020-04-07,"17:40:00",4,3,8,7,6,NA,1
2020-04-06,"17:45:00",4,10,0,10,4,NA,1
2020-04-10,"21:50:00",5,6,4,8,2,NA,1
2020-04-08,"09:25:00",8,8,0,9,10,NA,1
2020-04-08,"11:40:00",8,8,3,4,3,1,1
2020-04-09,"04:45:00",0,2,8,1,2,1,1
2020-04-07,"20:15:00",1,10,1,5,10,NA,1
2020-04-06,"16:25:00",5,1,10,10,0,NA,1
2020-04-10,"02:40:00",9,0,10,0,9,NA,1
2020-04-06,"22:45:00",9,8,6,3,5,NA,1
2020-04-08,"13:20:00",6,10,4,6,8,NA,1
2020-04-07,"02:55:00",1,7,6,3,1,NA,1
2020-04-06,"11:45:00",4,7,10,0,0,NA,1
2020-04-10,"07:30:00",0,0,9,3,9,NA,1
2020-04-10,"20:45:00",4,4,10,10,10,NA,1
2020-04-10,"19:20:00",7,10,10,6,5,NA,1
2020-04-10,"12:45:00",7,10,6,9,10,NA,1
2020-04-09,"20:55:00",10,8,10,5,10,NA,1
2020-04-07,"16:00:00",7,0,4,10,9,NA,1
2020-04-06,"09:45:00",6,4,7,1,10,NA,1
2020-04-08,"00:50:00",2,5,2,7,10,NA,1
2020-04-07,"03:50:00",6,7,9,10,2,NA,1
2020-04-06,"15:55:00",0,2,8,3,1,NA,1
2020-04-06,"06:25:00",10,4,0,4,10,1,1
2020-04-09,"15:05:00",2,9,8,10,10,NA,1
2020-04-06,"01:20:00",10,7,6,7,3,NA,1
2020-04-09,"20:30:00",7,5,2,0,0,NA,1
2020-04-06,"17:40:00",7,0,6,3,10,NA,1
2020-04-06,"09:35:00",10,4,10,5,6,NA,1
2020-04-06,"10:45:00",2,9,9,6,0,NA,1
2020-04-09,"08:40:00",6,4,5,10,7,NA,1
2020-04-07,"05:25:00",1,0,3,10,9,0,1
2020-04-08,"02:30:00",3,2,7,6,3,NA,1
2020-04-08,"18:55:00",7,5,10,7,10,NA,1
2020-04-10,"07:15:00",10,5,8,4,8,NA,1
2020-04-09,"15:15:00",0,3,3,10,4,NA,1
2020-04-07,"08:25:00",5,0,8,7,4,NA,1
2020-04-06,"15:45:00",4,0,8,2,5,NA,1
2020-04-06,"06:40:00",5,1,9,0,1,NA,1
2020-04-07,"12:10:00",5,9,9,1,6,NA,1
2020-04-07,"07:25:00",3,9,4,6,8,1,1
2020-04-08,"06:45:00",10,2,10,5,6,1,1
2020-04-09,"10:00:00",8,1,10,9,10,1,1
2020-04-09,"11:30:00",0,0,4,4,1,0,1
2020-04-07,"10:00:00",1,1,1,8,4,1,1
2020-04-07,"21:35:00",5,6,0,7,4,NA,1
2020-04-06,"21:45:00",4,3,7,8,10,0,1
2020-04-09,"22:40:00",1,4,6,6,9,NA,1
2020-04-06,"06:50:00",5,3,2,1,8,NA,1
2020-04-09,"11:40:00",0,6,1,4,6,NA,1
2020-04-09,"21:25:00",6,4,0,10,2,NA,1
2020-04-09,"21:15:00",8,2,6,8,3,NA,1
2020-04-07,"07:10:00",8,3,10,5,8,NA,1
2020-04-07,"20:50:00",6,6,1,1,0,NA,1
2020-04-08,"22:30:00",3,3,6,6,5,NA,1
2020-04-07,"08:45:00",4,3,7,10,8,1,1
2020-04-07,"20:30:00",4,8,1,2,7,NA,1
2020-04-06,"23:40:00",10,1,5,10,5,NA,1
2020-04-08,"07:10:00",10,3,2,10,6,NA,1
2020-04-06,"05:20:00",10,10,0,7,5,0,1
2020-04-10,"00:00:00",3,3,2,10,7,NA,1
2020-04-06,"09:15:00",6,1,6,10,10,NA,1
2020-04-08,"14:15:00",5,5,6,5,10,NA,1
2020-04-07,"12:50:00",10,3,3,7,4,1,1
2020-04-08,"21:20:00",9,6,5,9,10,1,1
2020-04-10,"19:10:00",8,10,4,6,10,NA,1
2020-04-09,"05:30:00",1,4,7,6,2,1,1
2020-04-06,"04:15:00",3,8,3,3,6,NA,1
2020-04-08,"03:40:00",8,5,10,9,6,NA,1
2020-04-08,"13:10:00",10,7,2,9,8,NA,1
2020-04-08,"16:20:00",10,10,6,10,1,0,1
2020-04-09,"09:45:00",1,10,9,3,0,NA,1
2020-04-07,"09:20:00",5,1,1,4,5,NA,1
2020-04-06,"15:30:00",8,10,10,4,0,NA,1
2020-04-07,"23:05:00",0,8,5,1,10,NA,1
2020-04-10,"18:45:00",3,2,1,3,1,NA,1
2020-04-06,"22:25:00",7,0,9,9,4,NA,1
2020-04-10,"12:30:00",1,0,3,5,10,NA,1
2020-04-08,"17:15:00",7,4,1,1,1,NA,1
2020-04-08,"06:50:00",8,2,10,9,9,NA,1
2020-04-10,"09:50:00",0,10,0,7,0,NA,1
2020-04-08,"07:00:00",7,1,7,5,3,NA,1
2020-04-09,"14:55:00",5,10,3,4,9,NA,1
2020-04-07,"23:55:00",10,2,9,10,3,1,1
2020-04-10,"12:30:00",9,2,6,2,10,NA,1
2020-04-09,"10:50:00",9,3,4,0,0,NA,1
2020-04-09,"11:55:00",6,4,4,8,8,NA,1
2020-04-07,"15:20:00",8,10,3,7,2,NA,1
2020-04-09,"18:50:00",7,7,5,1,5,NA,1
2020-04-09,"04:20:00",5,5,4,1,4,NA,1
2020-04-07,"04:50:00",9,1,4,1,2,NA,1
2020-04-06,"19:15:00",1,10,9,9,4,NA,1
2020-04-09,"23:35:00",0,3,0,7,2,NA,1
2020-04-10,"19:05:00",0,1,0,4,0,NA,1
2020-04-08,"07:00:00",10,0,9,8,1,NA,1
2020-04-08,"22:55:00",5,1,5,6,5,NA,1
2020-04-10,"06:55:00",6,4,0,1,10,NA,1
2020-04-08,"06:50:00",3,10,6,2,5,0,1
2020-04-10,"10:30:00",10,1,4,NA,5,NA,2
2020-04-09,"12:10:00",7,6,6,NA,9,NA,2
2020-04-06,"08:10:00",10,10,8,NA,3,0,2
2020-04-08,"12:05:00",0,5,2,NA,4,NA,2
2020-04-07,"10:25:00",6,0,1,NA,10,NA,2
2020-04-07,"10:15:00",0,10,10,9,9,NA,2
2020-04-07,"18:45:00",2,10,2,NA,6,NA,2
2020-04-07,"13:45:00",6,8,8,NA,10,NA,2
2020-04-08,"21:25:00",8,8,10,NA,2,NA,2
2020-04-09,"10:00:00",8,3,3,NA,8,NA,2
2020-04-07,"08:15:00",6,7,10,NA,10,NA,2
2020-04-06,"15:35:00",3,10,6,NA,10,NA,2
2020-04-06,"07:05:00",2,10,1,NA,5,NA,2
2020-04-08,"21:05:00",3,5,7,NA,5,NA,2
2020-04-06,"22:20:00",1,2,9,NA,8,NA,2
2020-04-06,"01:05:00",10,9,3,NA,9,1,2
2020-04-10,"15:20:00",4,10,0,NA,9,NA,2
2020-04-08,"16:25:00",0,5,5,NA,8,1,2
2020-04-06,"11:05:00",8,0,9,NA,10,NA,2
2020-04-10,"05:10:00",2,10,8,NA,7,NA,2
2020-04-10,"22:00:00",6,4,7,NA,1,NA,2
2020-04-08,"05:50:00",7,9,5,NA,9,NA,2
2020-04-06,"05:05:00",10,6,6,NA,6,NA,2
2020-04-06,"14:05:00",7,2,8,NA,8,NA,2
2020-04-07,"21:50:00",8,6,3,NA,7,1,2
2020-04-10,"10:15:00",0,1,9,NA,8,NA,2
2020-04-06,"17:45:00",2,4,6,NA,5,NA,2
2020-04-10,"02:55:00",1,7,0,NA,7,NA,2
2020-04-06,"01:50:00",6,3,9,NA,0,1,2
2020-04-08,"06:55:00",3,10,5,NA,8,NA,2
2020-04-09,"05:20:00",10,7,1,NA,10,NA,2
2020-04-06,"07:15:00",6,0,10,NA,10,NA,2
2020-04-09,"01:45:00",7,5,9,NA,10,NA,2
2020-04-10,"17:20:00",9,2,3,NA,8,NA,2
2020-04-06,"19:15:00",4,8,0,NA,3,NA,2
2020-04-09,"15:35:00",0,9,3,NA,10,1,2
2020-04-09,"01:05:00",8,5,2,NA,2,NA,2
2020-04-06,"22:15:00",2,0,10,NA,10,NA,2
2020-04-06,"00:45:00",10,6,1,NA,5,NA,2
2020-04-06,"01:05:00",3,0,1,NA,7,NA,2
2020-04-08,"15:50:00",2,1,1,NA,7,0,2
2020-04-10,"17:10:00",8,3,7,NA,6,NA,2
2020-04-09,"05:20:00",0,4,8,NA,0,NA,2
2020-04-09,"13:45:00",6,6,4,NA,3,NA,2
2020-04-08,"11:15:00",6,0,2,NA,2,NA,2
2020-04-08,"21:50:00",9,7,3,NA,9,NA,2
2020-04-06,"15:10:00",10,4,8,NA,10,1,2
2020-04-10,"09:15:00",5,3,7,NA,4,NA,2
2020-04-09,"19:20:00",9,3,1,NA,10,NA,2
2020-04-10,"23:45:00",7,3,10,NA,5,NA,2
2020-04-07,"11:45:00",3,2,9,NA,10,0,2
2020-04-07,"03:15:00",6,1,8,NA,9,NA,2
2020-04-06,"15:00:00",8,3,6,NA,1,0,2
2020-04-10,"19:40:00",5,8,9,NA,9,NA,2
2020-04-09,"21:40:00",2,1,8,9,1,NA,2
2020-04-06,"20:00:00",8,9,10,NA,0,1,2
2020-04-08,"18:20:00",9,8,0,NA,10,0,2
2020-04-08,"01:40:00",1,8,10,NA,4,NA,2
2020-04-06,"18:10:00",10,4,3,NA,4,NA,2
2020-04-06,"19:25:00",4,6,10,NA,10,NA,2
2020-04-10,"19:35:00",0,10,1,NA,0,NA,2
2020-04-07,"12:35:00",9,3,1,NA,2,NA,2
2020-04-10,"17:00:00",4,6,1,NA,3,NA,2
2020-04-06,"09:05:00",7,9,2,NA,0,NA,2
2020-04-08,"07:20:00",0,5,2,NA,8,NA,2
2020-04-06,"15:35:00",9,10,4,NA,2,NA,2
2020-04-06,"00:35:00",1,8,2,NA,10,1,2
2020-04-08,"18:25:00",4,9,9,NA,8,NA,2
2020-04-06,"13:40:00",0,0,10,NA,10,NA,2
2020-04-09,"14:40:00",0,7,10,NA,8,NA,2
2020-04-09,"11:45:00",9,10,10,NA,5,1,2
2020-04-06,"21:10:00",0,6,10,NA,10,NA,2
2020-04-10,"17:00:00",3,4,9,NA,9,NA,2
2020-04-09,"14:30:00",8,10,9,NA,2,NA,2
2020-04-07,"11:45:00",6,8,7,NA,10,NA,2
2020-04-09,"13:05:00",2,4,4,NA,6,NA,2
2020-04-09,"15:50:00",0,5,0,NA,0,NA,2
2020-04-07,"17:05:00",9,5,10,NA,10,NA,2
2020-04-07,"21:05:00",6,6,7,NA,4,NA,2
2020-04-07,"19:05:00",5,7,7,NA,6,NA,2
2020-04-09,"02:00:00",6,3,4,NA,10,NA,2
2020-04-10,"12:05:00",10,8,1,NA,5,NA,2
2020-04-06,"20:45:00",9,10,10,NA,10,NA,2
2020-04-10,"09:00:00",1,10,6,NA,10,NA,2
2020-04-06,"03:20:00",4,9,8,NA,7,NA,2
2020-04-09,"07:15:00",4,1,0,NA,6,NA,2
2020-04-08,"01:45:00",2,1,4,NA,8,NA,2
2020-04-09,"22:55:00",9,8,5,NA,1,NA,2
2020-04-09,"14:35:00",10,1,8,NA,0,NA,2
2020-04-08,"09:35:00",10,9,6,3,9,NA,2
2020-04-09,"05:15:00",2,4,0,NA,10,NA,2
2020-04-08,"12:15:00",10,8,0,NA,8,NA,2
2020-04-10,"01:25:00",4,9,7,NA,4,NA,2
2020-04-08,"09:10:00",9,3,1,NA,4,1,2
2020-04-08,"14:45:00",10,1,9,NA,5,NA,2
2020-04-07,"06:05:00",3,6,0,NA,4,NA,2
2020-04-09,"00:35:00",3,4,5,NA,1,NA,2
