"location","bin_start_rel","bin_timestamp","attribute","n_reports","mean_norm","sd_norm","se_norm","total_reports"
5,0,2020-04-06,"medical",24,0.566666666666667,0.315769132322234,0.0644561042259046,24
5,0,2020-04-06,"roads_and_bridges",24,0.454166666666667,0.347636950388422,0.0709610953490721,24
5,0,2020-04-06,"power",24,0.570833333333333,0.348261728997112,0.0710886277485301,24
5,0,2020-04-06,"sewer_and_water",24,0.533333333333333,0.330568241546039,0.067476959746408,24
5,0,2020-04-06,"shake_intensity",5,0.04,0.0547722557505166,0.0244948974278318,24
6,0,2020-04-06,"buildings",73,0.616438356164384,0.34960839148576,0.0409185672088873,73
6,0,2020-04-06,"medical",73,0.543835616438356,0.30367485415685,0.0355424533051354,73
6,0,2020-04-06,"roads_and_bridges",73,0.546575342465753,0.333783942003083,0.0390664554876875,73
6,0,2020-04-06,"power",73,0.489041095890411,0.302104490677764,0.0353586561620282,73
6,0,2020-04-06,"sewer_and_water",73,0.615068493150685,0.322607102317592,0.0377583053488705,73
6,0,2020-04-06,"shake_intensity",13,0.0538461538461538,0.0518874521662771,0.0143909899491305,73
7,0,2020-04-06,"buildings",0,NA,NA,NA,1
7,0,2020-04-06,"medical",0,NA,NA,NA,1
7,0,2020-04-06,"roads_and_bridges",1,0.1,NA,NA,1
7,0,2020-04-06,"power",1,0.3,NA,NA,1
7,0,2020-04-06,"sewer_and_water",0,NA,NA,NA,1
7,0,2020-04-06,"shake_intensity",0,NA,NA,NA,1
8,0,2020-04-06,"buildings",68,0.514705882352941,0.32656726850743,0.0396020982919287,68
8,0,2020-04-06,"medical",0,NA,NA,NA,68
8,0,2020-04-06,"roads_and_bridges",68,0.552941176470588,0.355540617674698,0.0431156329667684,68
8,0,2020-04-06,"power",68,0.514705882352941,0.348242798248644,0.0422306423688182,68
8,0,2020-04-06,"sewer_and_water",68,0.517647058823529,0.332759236377002,0.0403529846906545,68
8,0,2020-04-06,"shake_intensity",8,0.0875,0.0353553390593274,0.0125,68
9,0,2020-04-06,"buildings",47,0.627659574468085,0.332776284467753,0.0485404099045897,47
9,0,2020-04-06,"medical",47,0.48936170212766,0.343406238423742,0.0500909480480031,47
9,0,2020-04-06,"roads_and_bridges",47,0.495744680851064,0.334896120693976,0.0488496197977047,47
9,0,2020-04-06,"power",47,0.646808510638298,0.326943063670903,0.0476895472026519,47
9,0,2020-04-06,"sewer_and_water",47,0.661702127659574,0.349877737334531,0.051034913181604,47
9,0,2020-04-06,"shake_intensity",2,0,0,0,47
10,0,2020-04-06,"buildings",7,0.814285714285714,0.177281052085584,0.067005939426049,7
10,0,2020-04-06,"medical",0,NA,NA,NA,7
10,0,2020-04-06,"roads_and_bridges",7,0.5,0.408248290463863,0.154303349962092,7
10,0,2020-04-06,"power",7,0.542857142857143,0.382348631736111,0.144514199099938,7
10,0,2020-04-06,"sewer_and_water",7,0.357142857142857,0.377964473009227,0.142857142857143,7
10,0,2020-04-06,"shake_intensity",1,0.1,NA,NA,7
11,0,2020-04-06,"buildings",13,0.569230769230769,0.235883500145783,0.0654223119085799,13
11,0,2020-04-06,"medical",13,0.553846153846154,0.33817003764227,0.0937914931188302,13
11,0,2020-04-06,"roads_and_bridges",13,0.7,0.276887462097269,0.0767947647788304,13
11,0,2020-04-06,"power",13,0.446153846153846,0.359665086377555,0.099753146994497,13
11,0,2020-04-06,"sewer_and_water",13,0.661538461538462,0.350091563114712,0.097097929378264,13
11,0,2020-04-06,"shake_intensity",3,0.0333333333333333,0.0577350269189626,0.0333333333333333,13
12,0,2020-04-06,"buildings",13,0.476923076923077,0.351553329652478,0.097503350470931,13
12,0,2020-04-06,"medical",0,NA,NA,NA,13
12,0,2020-04-06,"roads_and_bridges",13,0.715384615384615,0.27642405179408,0.0766662378857746,13
12,0,2020-04-06,"power",13,0.753846153846154,0.278733398953745,0.0773067355470838,13
12,0,2020-04-06,"sewer_and_water",13,0.546153846153846,0.38862017578304,0.107783843881968,13
12,0,2020-04-06,"shake_intensity",4,0.025,0.05,0.025,13
13,0,2020-04-06,"buildings",5,0.44,0.439317652729776,0.196468827043885,5
13,0,2020-04-06,"medical",0,NA,NA,NA,5
13,0,2020-04-06,"roads_and_bridges",5,0.74,0.313049516849971,0.14,5
13,0,2020-04-06,"power",5,0.56,0.343511280746353,0.153622914957372,5
13,0,2020-04-06,"sewer_and_water",5,0.72,0.311448230047949,0.139283882771841,5
13,0,2020-04-06,"shake_intensity",0,NA,NA,NA,5
14,0,2020-04-06,"buildings",25,0.468,0.356744539785358,0.0713489079570715,25
14,0,2020-04-06,"medical",0,NA,NA,NA,25
14,0,2020-04-06,"roads_and_bridges",25,0.56,0.393700393700591,0.0787400787401181,25
14,0,2020-04-06,"power",25,0.548,0.308382878902186,0.0616765757804371,25
14,0,2020-04-06,"sewer_and_water",25,0.584,0.314483703870328,0.0628967407740656,25
14,0,2020-04-06,"shake_intensity",2,0,0,0,25
15,0,2020-04-06,"buildings",58,0.555172413793103,0.303876945196804,0.0399009977021018,58
15,0,2020-04-06,"medical",0,NA,NA,NA,58
15,0,2020-04-06,"roads_and_bridges",58,0.532758620689655,0.355107066154916,0.0466278421400835,58
15,0,2020-04-06,"power",58,0.487931034482759,0.297991867431062,0.03912824913358,58
15,0,2020-04-06,"sewer_and_water",58,0.548275862068966,0.350058330633246,0.0459649106882809,58
15,0,2020-04-06,"shake_intensity",8,0.075,0.0462910049886276,0.0163663417676994,58
16,0,2020-04-06,"buildings",13,0.653846153846154,0.347887397049162,0.0964866037037271,13
16,0,2020-04-06,"medical",13,0.592307692307692,0.340248777763023,0.0943680318952715,13
16,0,2020-04-06,"roads_and_bridges",13,0.538461538461538,0.34770308583249,0.0964354849696999,13
16,0,2020-04-06,"power",13,0.576923076923077,0.324432443285825,0.0899813699762389,13
16,0,2020-04-06,"sewer_and_water",13,0.684615384615385,0.371587032977367,0.103059700053648,13
16,0,2020-04-06,"shake_intensity",2,0.1,0,0,13
17,0,2020-04-06,"buildings",5,0.6,0.324037034920393,0.144913767461894,5
17,0,2020-04-06,"medical",0,NA,NA,NA,5
17,0,2020-04-06,"roads_and_bridges",5,0.46,0.378153408023781,0.169115345252878,5
17,0,2020-04-06,"power",5,0.3,0.282842712474619,0.126491106406735,5
17,0,2020-04-06,"sewer_and_water",5,0.16,0.0894427190999916,0.04,5
17,0,2020-04-06,"shake_intensity",0,NA,NA,NA,5
18,0,2020-04-06,"buildings",19,0.631578947368421,0.383047185342525,0.0878770511324084,19
18,0,2020-04-06,"medical",0,NA,NA,NA,19
18,0,2020-04-06,"roads_and_bridges",19,0.589473684210526,0.339762558989698,0.0779468768123616,19
18,0,2020-04-06,"power",19,0.694736842105263,0.263467653950846,0.0604436251822885,19
18,0,2020-04-06,"sewer_and_water",19,0.494736842105263,0.367383668980969,0.0842835940313285,19
18,0,2020-04-06,"shake_intensity",2,0,0,0,19
19,0,2020-04-06,"buildings",20,0.485,0.36168465473902,0.0808751474414991,20
19,0,2020-04-06,"medical",1,0,NA,NA,20
19,0,2020-04-06,"roads_and_bridges",20,0.515,0.30655127501044,0.0685469489512576,20
19,0,2020-04-06,"power",20,0.54,0.331503750871849,0.074126492174561,20
19,0,2020-04-06,"sewer_and_water",20,0.545,0.321959461325245,0.0719923241522463,20
19,0,2020-04-06,"shake_intensity",4,0.1,0,0,20
1,6,2020-04-06 06:00:00,"buildings",21,0.60952380952381,0.394847770545513,0.086162847452827,21
1,6,2020-04-06 06:00:00,"medical",21,0.528571428571429,0.375689841681748,0.0819822446348851,21
1,6,2020-04-06 06:00:00,"roads_and_bridges",21,0.585714285714286,0.351120654883352,0.0766208085269252,21
1,6,2020-04-06 06:00:00,"power",21,0.49047619047619,0.319225252611321,0.0696606611348942,21
1,6,2020-04-06 06:00:00,"sewer_and_water",21,0.542857142857143,0.335516659156335,0.0732157375001241,21
1,6,2020-04-06 06:00:00,"shake_intensity",4,0.05,0.0577350269189626,0.0288675134594813,21
2,6,2020-04-06 06:00:00,"buildings",53,0.60188679245283,0.299030848703026,0.0410750460159028,53
2,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,53
2,6,2020-04-06 06:00:00,"roads_and_bridges",53,0.522641509433962,0.337776387931175,0.0463971551347774,53
2,6,2020-04-06 06:00:00,"power",53,0.566037735849057,0.393183944144769,0.0540079683032953,53
2,6,2020-04-06 06:00:00,"sewer_and_water",53,0.49622641509434,0.313762688466044,0.0430986198337526,53
2,6,2020-04-06 06:00:00,"shake_intensity",9,0.0444444444444444,0.052704627669473,0.0175682092231577,53
3,6,2020-04-06 06:00:00,"buildings",58,0.481034482758621,0.334274231654152,0.0438923569554312,58
3,6,2020-04-06 06:00:00,"medical",58,0.574137931034483,0.365897284420808,0.0480446672103556,58
3,6,2020-04-06 06:00:00,"roads_and_bridges",58,0.570689655172414,0.348434403547235,0.0457516786153925,58
3,6,2020-04-06 06:00:00,"power",58,0.512068965517241,0.34339767045307,0.0450903231595312,58
3,6,2020-04-06 06:00:00,"sewer_and_water",58,0.524137931034483,0.292184959942665,0.0383657648253323,58
3,6,2020-04-06 06:00:00,"shake_intensity",3,0.0333333333333333,0.0577350269189626,0.0333333333333333,58
4,6,2020-04-06 06:00:00,"buildings",7,0.6,0.3,0.113389341902768,7
4,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,7
4,6,2020-04-06 06:00:00,"roads_and_bridges",7,0.442857142857143,0.310145895008263,0.117224129762773,7
4,6,2020-04-06 06:00:00,"power",7,0.542857142857143,0.35523298860111,0.134265449332111,7
4,6,2020-04-06 06:00:00,"sewer_and_water",7,0.514285714285714,0.307834216359885,0.116350397360673,7
4,6,2020-04-06 06:00:00,"shake_intensity",0,NA,NA,NA,7
5,6,2020-04-06 06:00:00,"buildings",17,0.482352941176471,0.335848355135259,0.0814551907301543,17
5,6,2020-04-06 06:00:00,"medical",17,0.6,0.360555127546399,0.0874474632195206,17
5,6,2020-04-06 06:00:00,"roads_and_bridges",17,0.582352941176471,0.387677852923092,0.0940256903714458,17
5,6,2020-04-06 06:00:00,"power",17,0.570588235294118,0.336832127851458,0.0816937906607715,17
5,6,2020-04-06 06:00:00,"sewer_and_water",17,0.488235294117647,0.368921321119383,0.0894765632069192,17
5,6,2020-04-06 06:00:00,"shake_intensity",3,0.0666666666666667,0.0577350269189626,0.0333333333333333,17
6,6,2020-04-06 06:00:00,"buildings",65,0.564615384615385,0.329028289641811,0.0408109365780632,65
6,6,2020-04-06 06:00:00,"medical",65,0.501538461538462,0.334239952958718,0.0414573638543441,65
6,6,2020-04-06 06:00:00,"roads_and_bridges",65,0.54,0.316128929394322,0.0392109678533953,65
6,6,2020-04-06 06:00:00,"power",65,0.526153846153846,0.33132165407884,0.0410953934273264,65
6,6,2020-04-06 06:00:00,"sewer_and_water",65,0.54,0.342235299172952,0.0424490644999755,65
6,6,2020-04-06 06:00:00,"shake_intensity",10,0.05,0.052704627669473,0.0166666666666667,65
7,6,2020-04-06 06:00:00,"buildings",0,NA,NA,NA,2
7,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,2
7,6,2020-04-06 06:00:00,"roads_and_bridges",2,0.65,0.353553390593274,0.25,2
7,6,2020-04-06 06:00:00,"power",2,0.65,0.353553390593274,0.25,2
7,6,2020-04-06 06:00:00,"sewer_and_water",0,NA,NA,NA,2
7,6,2020-04-06 06:00:00,"shake_intensity",0,NA,NA,NA,2
8,6,2020-04-06 06:00:00,"buildings",61,0.504918032786885,0.324256189613602,0.0415167508170551,61
8,6,2020-04-06 06:00:00,"medical",1,0.1,NA,NA,61
8,6,2020-04-06 06:00:00,"roads_and_bridges",61,0.581967213114754,0.337396007050721,0.0431991320445918,61
8,6,2020-04-06 06:00:00,"power",61,0.629508196721312,0.285391113091655,0.0365405876808318,61
8,6,2020-04-06 06:00:00,"sewer_and_water",61,0.452459016393443,0.327926087900434,0.0419866331433721,61
8,6,2020-04-06 06:00:00,"shake_intensity",12,0.0416666666666667,0.0514928650544437,0.0148647097502641,61
9,6,2020-04-06 06:00:00,"buildings",60,0.47,0.275742449225876,0.0355981971231421,60
9,6,2020-04-06 06:00:00,"medical",60,0.523333333333333,0.372060987649973,0.0480328669647276,60
9,6,2020-04-06 06:00:00,"roads_and_bridges",60,0.6,0.307532553051609,0.0397022818795177,60
9,6,2020-04-06 06:00:00,"power",60,0.523333333333333,0.35384889366511,0.0456816957412964,60
9,6,2020-04-06 06:00:00,"sewer_and_water",60,0.561666666666667,0.353717145766274,0.0456646871606934,60
9,6,2020-04-06 06:00:00,"shake_intensity",12,0.0333333333333333,0.0492365963917331,0.014213381090374,60
10,6,2020-04-06 06:00:00,"buildings",22,0.481818181818182,0.363365700135046,0.0774698275678497,22
10,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,22
10,6,2020-04-06 06:00:00,"roads_and_bridges",22,0.640909090909091,0.314202074663653,0.0669881073987098,22
10,6,2020-04-06 06:00:00,"power",22,0.618181818181818,0.381271511351118,0.0812873593460445,22
10,6,2020-04-06 06:00:00,"sewer_and_water",22,0.454545454545455,0.297172825661581,0.06335745931247,22
10,6,2020-04-06 06:00:00,"shake_intensity",2,0.1,0,0,22
11,6,2020-04-06 06:00:00,"buildings",5,0.84,0.357770876399966,0.16,5
11,6,2020-04-06 06:00:00,"medical",5,0.46,0.415932686861708,0.186010752377383,5
11,6,2020-04-06 06:00:00,"roads_and_bridges",5,0.62,0.443846820423443,0.198494332412792,5
11,6,2020-04-06 06:00:00,"power",5,0.88,0.16431676725155,0.0734846922834953,5
11,6,2020-04-06 06:00:00,"sewer_and_water",5,0.74,0.320936130717624,0.143527000944073,5
11,6,2020-04-06 06:00:00,"shake_intensity",1,0.1,NA,NA,5
12,6,2020-04-06 06:00:00,"buildings",17,0.611764705882353,0.375636714361723,0.0911052853043149,17
12,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,17
12,6,2020-04-06 06:00:00,"roads_and_bridges",17,0.464705882352941,0.360453146176081,0.0874227291041285,17
12,6,2020-04-06 06:00:00,"power",17,0.588235294117647,0.3479984786985,0.0844020285428338,17
12,6,2020-04-06 06:00:00,"sewer_and_water",17,0.464705882352941,0.370710764057689,0.0899105668684281,17
12,6,2020-04-06 06:00:00,"shake_intensity",2,0.1,0,0,17
13,6,2020-04-06 06:00:00,"buildings",12,0.583333333333333,0.335297244880185,0.0967919772950572,12
13,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,12
13,6,2020-04-06 06:00:00,"roads_and_bridges",12,0.791666666666667,0.277843426585856,0.0802064885659559,12
13,6,2020-04-06 06:00:00,"power",12,0.416666666666667,0.329830075626646,0.0952137414749393,12
13,6,2020-04-06 06:00:00,"sewer_and_water",12,0.375,0.330633001707606,0.0954455262694302,12
13,6,2020-04-06 06:00:00,"shake_intensity",4,0.025,0.05,0.025,12
14,6,2020-04-06 06:00:00,"buildings",33,0.551515151515152,0.336453202653441,0.0585689848566984,33
14,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,33
14,6,2020-04-06 06:00:00,"roads_and_bridges",33,0.578787878787879,0.347092905211969,0.0604211193381528,33
14,6,2020-04-06 06:00:00,"power",33,0.533333333333333,0.382970843102535,0.0666666666666667,33
14,6,2020-04-06 06:00:00,"sewer_and_water",33,0.442424242424242,0.32018578886943,0.0557371915967164,33
14,6,2020-04-06 06:00:00,"shake_intensity",6,0.0333333333333333,0.0516397779494322,0.0210818510677892,33
15,6,2020-04-06 06:00:00,"buildings",83,0.502409638554217,0.320812955008191,0.0352137966015799,83
15,6,2020-04-06 06:00:00,"medical",1,1,NA,NA,83
15,6,2020-04-06 06:00:00,"roads_and_bridges",83,0.589156626506024,0.326104894164802,0.0357946623870158,83
15,6,2020-04-06 06:00:00,"power",83,0.520481927710843,0.36784110970157,0.0403758072001793,83
15,6,2020-04-06 06:00:00,"sewer_and_water",83,0.532530120481928,0.337172038932338,0.0370094393426232,83
15,6,2020-04-06 06:00:00,"shake_intensity",13,0.0307692307692308,0.0480384461415261,0.0133234677505298,83
16,6,2020-04-06 06:00:00,"buildings",28,0.507142857142857,0.353740406417298,0.0668506531467919,28
16,6,2020-04-06 06:00:00,"medical",28,0.610714285714286,0.316624892816915,0.0598364803775741,28
16,6,2020-04-06 06:00:00,"roads_and_bridges",28,0.4,0.316227766016838,0.0597614304667197,28
16,6,2020-04-06 06:00:00,"power",28,0.410714285714286,0.380388968288734,0.0718867579688874,28
16,6,2020-04-06 06:00:00,"sewer_and_water",28,0.492857142857143,0.354785873271493,0.0670482278110892,28
16,6,2020-04-06 06:00:00,"shake_intensity",1,0.1,NA,NA,28
17,6,2020-04-06 06:00:00,"buildings",18,0.433333333333333,0.353137200465968,0.083235236379573,18
17,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,18
17,6,2020-04-06 06:00:00,"roads_and_bridges",18,0.466666666666667,0.346410161513775,0.0816496580927726,18
17,6,2020-04-06 06:00:00,"power",18,0.561111111111111,0.295334085777822,0.0696109115896759,18
17,6,2020-04-06 06:00:00,"sewer_and_water",18,0.522222222222222,0.357368742758308,0.0842326204628368,18
17,6,2020-04-06 06:00:00,"shake_intensity",2,0.1,0,0,18
18,6,2020-04-06 06:00:00,"buildings",21,0.461904761904762,0.365343934500342,0.0797245825971813,21
18,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,21
18,6,2020-04-06 06:00:00,"roads_and_bridges",21,0.471428571428571,0.336367146348833,0.0734013290209436,21
18,6,2020-04-06 06:00:00,"power",21,0.542857142857143,0.280305955290694,0.0611677741841197,21
18,6,2020-04-06 06:00:00,"sewer_and_water",21,0.633333333333333,0.292118697336089,0.0637455258311677,21
18,6,2020-04-06 06:00:00,"shake_intensity",4,0.05,0.0577350269189626,0.0288675134594813,21
19,6,2020-04-06 06:00:00,"buildings",26,0.546153846153846,0.315253255946097,0.0618262501458773,26
19,6,2020-04-06 06:00:00,"medical",0,NA,NA,NA,26
19,6,2020-04-06 06:00:00,"roads_and_bridges",26,0.45,0.344383507154451,0.0675391624284641,26
19,6,2020-04-06 06:00:00,"power",26,0.561538461538462,0.343018277153767,0.0672714187971552,26
19,6,2020-04-06 06:00:00,"sewer_and_water",26,0.653846153846154,0.288763944052258,0.0566312686747876,26
19,6,2020-04-06 06:00:00,"shake_intensity",5,0.04,0.0547722557505166,0.0244948974278318,26
1,12,2020-04-06 12:00:00,"buildings",47,0.265957446808511,0.364319852151376,0.0531415121365746,47
1,12,2020-04-06 12:00:00,"medical",47,0.274468085106383,0.344817585742894,0.0502968142127117,47
1,12,2020-04-06 12:00:00,"roads_and_bridges",47,0.293617021276596,0.363798950281219,0.053065530789713,47
1,12,2020-04-06 12:00:00,"power",47,0.2,0.307867842906095,0.0449071402879727,47
1,12,2020-04-06 12:00:00,"sewer_and_water",47,0.272340425531915,0.343069347571731,0.0500418074667388,47
1,12,2020-04-06 12:00:00,"shake_intensity",27,0.0333333333333333,0.0480384461415261,0.00924500327042049,47
2,12,2020-04-06 12:00:00,"buildings",201,0.223383084577114,0.291033498952333,0.0205279202554016,201
2,12,2020-04-06 12:00:00,"medical",3,0.9,0.173205080756888,0.1,201
2,12,2020-04-06 12:00:00,"roads_and_bridges",201,0.195024875621891,0.311729248512406,0.0219876858773121,201
2,12,2020-04-06 12:00:00,"power",201,0.165671641791045,0.29910812700726,0.0210974606052248,201
2,12,2020-04-06 12:00:00,"sewer_and_water",201,0.167164179104478,0.298691174811791,0.0210680510649151,201
2,12,2020-04-06 12:00:00,"shake_intensity",151,0.0218543046357616,0.0414633006164879,0.00337423555042569,201
3,12,2020-04-06 12:00:00,"buildings",396,0.337878787878788,0.168476555720337,0.00846626547417822,396
3,12,2020-04-06 12:00:00,"medical",396,0.257323232323232,0.193363058704477,0.00971685930360931,396
3,12,2020-04-06 12:00:00,"roads_and_bridges",396,0.337373737373737,0.16340420246884,0.00821137013267285,396
3,12,2020-04-06 12:00:00,"power",396,0.325,0.172123741181979,0.00864954343958893,396
3,12,2020-04-06 12:00:00,"sewer_and_water",396,0.341919191919192,0.175052552066995,0.00879672172424813,396
3,12,2020-04-06 12:00:00,"shake_intensity",296,0.0807432432432433,0.0588084072879958,0.00341816924275716,396
4,12,2020-04-06 12:00:00,"buildings",71,0.23943661971831,0.200341760313603,0.0237761926510454,71
4,12,2020-04-06 12:00:00,"medical",5,0.38,0.311448230047949,0.139283882771841,71
4,12,2020-04-06 12:00:00,"roads_and_bridges",71,0.0971830985915493,0.22926705014391,0.0272089929939003,71
4,12,2020-04-06 12:00:00,"power",71,0.0605633802816901,0.159891814531341,0.0189756672781129,71
4,12,2020-04-06 12:00:00,"sewer_and_water",71,0.0676056338028169,0.202678244577334,0.0240534823179308,71
4,12,2020-04-06 12:00:00,"shake_intensity",38,0.194736842105263,0.0733277294294027,0.0118953284763297,71
5,12,2020-04-06 12:00:00,"buildings",101,0.166336633663366,0.221935678845368,0.0220834254285642,101
5,12,2020-04-06 12:00:00,"medical",101,0.136633663366337,0.273394503338025,0.0272037698420324,101
5,12,2020-04-06 12:00:00,"roads_and_bridges",101,0.127722772277228,0.249446912941888,0.0248208955360252,101
5,12,2020-04-06 12:00:00,"power",101,0.252475247524752,0.210994814820621,0.0209947687687988,101
5,12,2020-04-06 12:00:00,"sewer_and_water",101,0.116831683168317,0.23877575544041,0.0237590756783693,101
5,12,2020-04-06 12:00:00,"shake_intensity",80,0.03,0.0461148813126632,0.00515580046947248,101
6,12,2020-04-06 12:00:00,"buildings",231,0.238528138528139,0.28181939612253,0.0185423549351357,231
6,12,2020-04-06 12:00:00,"medical",231,0.177056277056277,0.285355600187298,0.0187750200809495,231
6,12,2020-04-06 12:00:00,"roads_and_bridges",231,0.2,0.33153136122886,0.0218131621052848,231
6,12,2020-04-06 12:00:00,"power",231,0.191774891774892,0.319880224149007,0.021046573566295,231
6,12,2020-04-06 12:00:00,"sewer_and_water",231,0.194372294372294,0.30774554694397,0.0202481704228106,231
6,12,2020-04-06 12:00:00,"shake_intensity",168,0.0232142857142857,0.0423461841923733,0.00326707903949749,231
7,12,2020-04-06 12:00:00,"buildings",0,NA,NA,NA,3
7,12,2020-04-06 12:00:00,"medical",0,NA,NA,NA,3
7,12,2020-04-06 12:00:00,"roads_and_bridges",3,0.533333333333333,0.251661147842358,0.145296631451356,3
7,12,2020-04-06 12:00:00,"power",3,0.4,0.1,0.0577350269189626,3
7,12,2020-04-06 12:00:00,"sewer_and_water",0,NA,NA,NA,3
7,12,2020-04-06 12:00:00,"shake_intensity",1,0.1,NA,NA,3
8,12,2020-04-06 12:00:00,"buildings",394,0.345431472081218,0.186140502418403,0.00937762303617326,394
8,12,2020-04-06 12:00:00,"medical",3,0.6,0.458257569495584,0.264575131106459,394
8,12,2020-04-06 12:00:00,"roads_and_bridges",394,0.236040609137056,0.168877625192688,0.00850793184570569,394
8,12,2020-04-06 12:00:00,"power",394,0.116243654822335,0.242002043023031,0.0121918867950224,394
8,12,2020-04-06 12:00:00,"sewer_and_water",394,0.116751269035533,0.246137808812743,0.0124002436654398,394
8,12,2020-04-06 12:00:00,"shake_intensity",327,0.0229357798165138,0.0435390541623281,0.00240771519681226,394
9,12,2020-04-06 12:00:00,"buildings",347,0.338616714697406,0.159863887399181,0.00858194312626311,347
9,12,2020-04-06 12:00:00,"medical",347,0.102017291066282,0.237207915289261,0.0127339880896848,347
9,12,2020-04-06 12:00:00,"roads_and_bridges",347,0.147262247838617,0.172577360850633,0.00926443814044466,347
9,12,2020-04-06 12:00:00,"power",347,0.0910662824207493,0.209474331587293,0.0112451713100487,347
9,12,2020-04-06 12:00:00,"sewer_and_water",347,0.0948126801152738,0.223546446947377,0.0120006020433506,347
9,12,2020-04-06 12:00:00,"shake_intensity",301,0.0212624584717608,0.0417899615450382,0.00240873333907885,347
10,12,2020-04-06 12:00:00,"buildings",133,0.421052631578947,0.150782118332816,0.0130744678032351,133
10,12,2020-04-06 12:00:00,"medical",2,0.65,0.353553390593274,0.25,133
10,12,2020-04-06 12:00:00,"roads_and_bridges",133,0.332330827067669,0.161221131867613,0.013979645074037,133
10,12,2020-04-06 12:00:00,"power",133,0.101503759398496,0.231917227399233,0.0201097739982268,133
10,12,2020-04-06 12:00:00,"sewer_and_water",133,0.0781954887218045,0.185185552264136,0.0160576238580062,133
10,12,2020-04-06 12:00:00,"shake_intensity",117,0.0230769230769231,0.0423137203325584,0.0039119048285816,133
11,12,2020-04-06 12:00:00,"buildings",54,0.183333333333333,0.231280275937521,0.0314732590898345,54
11,12,2020-04-06 12:00:00,"medical",54,0.259259259259259,0.169926197652091,0.0231240265654969,54
11,12,2020-04-06 12:00:00,"roads_and_bridges",54,0.116666666666667,0.236124367614044,0.0321324564717647,54
11,12,2020-04-06 12:00:00,"power",54,0.133333333333333,0.276091316586269,0.0375712693360872,54
11,12,2020-04-06 12:00:00,"sewer_and_water",54,0.0962962962962963,0.172619073437224,0.0234904805440675,54
11,12,2020-04-06 12:00:00,"shake_intensity",47,0.0234042553191489,0.0476069320740017,0.0069441847422151,54
12,12,2020-04-06 12:00:00,"buildings",56,0.196428571428571,0.226406140066342,0.0302547930853645,56
12,12,2020-04-06 12:00:00,"medical",1,0.7,NA,NA,56
12,12,2020-04-06 12:00:00,"roads_and_bridges",56,0.151785714285714,0.289821933688176,0.0387290849654811,56
12,12,2020-04-06 12:00:00,"power",56,0.166071428571429,0.284941324559212,0.0380768861369332,56
