"datetime","location","severity"
2020-04-09 03:00:00,2,4.64
2020-04-09 06:00:00,2,4.36
2020-04-09 09:00:00,2,4.61
2020-04-09 12:00:00,2,4.37
2020-04-09 15:00:00,2,3.36
2020-04-09 18:00:00,2,3.69
2020-04-09 21:00:00,2,4.34
2020-04-10,2,3.59
2020-04-10 03:00:00,2,3.74
2020-04-10 06:00:00,2,3.85
2020-04-10 09:00:00,2,3.68
2020-04-10 12:00:00,2,3.79
2020-04-10 15:00:00,2,3.6
2020-04-10 18:00:00,2,3.64
2020-04-10 21:00:00,2,3.64
2020-04-11,2,5.66
2020-04-06,3,4.93
2020-04-06 03:00:00,3,5.06
2020-04-06 06:00:00,3,5.17
2020-04-06 09:00:00,3,4.77
2020-04-06 12:00:00,3,3.69
2020-04-06 15:00:00,3,2.51
2020-04-06 18:00:00,3,3.37
2020-04-06 21:00:00,3,4.71
2020-04-07,3,5.14
2020-04-07 03:00:00,3,5.08
2020-04-07 06:00:00,3,5.25
2020-04-07 09:00:00,3,4.78
2020-04-07 12:00:00,3,4.92
2020-04-07 15:00:00,3,4.81
2020-04-07 18:00:00,3,5.19
2020-04-07 21:00:00,3,4.82
2020-04-08,3,5.38
2020-04-08 03:00:00,3,5.51
2020-04-08 06:00:00,3,6.48
2020-04-08 09:00:00,3,6.55
2020-04-08 12:00:00,3,4.46
2020-04-08 15:00:00,3,4.61
2020-04-08 18:00:00,3,5.03
2020-04-08 21:00:00,3,5.27
2020-04-09,3,7.03
2020-04-09 03:00:00,3,5.27
2020-04-09 06:00:00,3,5.18
2020-04-09 09:00:00,3,5.5
2020-04-09 12:00:00,3,5.02
2020-04-09 15:00:00,3,7.06
2020-04-09 18:00:00,3,4.35
2020-04-09 21:00:00,3,4.81
2020-04-10,3,4.66
2020-04-10 03:00:00,3,4.89
2020-04-10 06:00:00,3,4.7
2020-04-10 09:00:00,3,4.81
2020-04-10 12:00:00,3,7.27
2020-04-10 15:00:00,3,5.02
2020-04-10 18:00:00,3,4.78
2020-04-10 21:00:00,3,5
2020-04-11,3,5.77
2020-04-06,4,4.53
2020-04-06 03:00:00,4,4.61
2020-04-06 06:00:00,4,4.56
2020-04-06 09:00:00,4,4.66
2020-04-06 12:00:00,4,3.42
2020-04-06 15:00:00,4,2.48
2020-04-06 18:00:00,4,2.98
2020-04-06 21:00:00,4,4.55
2020-04-07,4,4.76
2020-04-07 03:00:00,4,4.85
2020-04-07 06:00:00,4,4.48
2020-04-07 09:00:00,4,4.89
2020-04-07 12:00:00,4,4.6
2020-04-07 15:00:00,4,4.96
2020-04-07 18:00:00,4,4.86
2020-04-07 21:00:00,4,4.63
2020-04-08,4,5.38
2020-04-08 03:00:00,4,5.4
2020-04-08 06:00:00,4,4.88
2020-04-08 09:00:00,4,4.96
2020-04-08 12:00:00,4,4.93
2020-04-08 15:00:00,4,4.86
2020-04-08 18:00:00,4,5.13
2020-04-08 21:00:00,4,5.3
2020-04-09,4,5.31
2020-04-09 03:00:00,4,5.5
2020-04-09 06:00:00,4,5.27
2020-04-09 09:00:00,4,5.7
2020-04-09 12:00:00,4,5.14
2020-04-09 15:00:00,4,6.33
2020-04-09 18:00:00,4,6.15
2020-04-09 21:00:00,4,5.54
2020-04-10,4,4.93
2020-04-10 03:00:00,4,5.16
2020-04-10 06:00:00,4,4.7
2020-04-10 09:00:00,4,4.81
2020-04-10 12:00:00,4,4.74
2020-04-10 15:00:00,4,4.91
2020-04-10 18:00:00,4,4.75
2020-04-10 21:00:00,4,4.73
2020-04-11,4,5.77
2020-04-06,5,4.88
2020-04-06 03:00:00,5,5
2020-04-06 06:00:00,5,4.86
2020-04-06 09:00:00,5,5.07
2020-04-06 12:00:00,5,4.17
2020-04-06 15:00:00,5,1.17
2020-04-06 18:00:00,5,2.78
2020-04-06 21:00:00,5,4.48
2020-04-07,5,4.79
2020-04-07 03:00:00,5,4.95
2020-04-07 06:00:00,5,4.56
2020-04-07 09:00:00,5,4.74
2020-04-07 12:00:00,5,4.48
2020-04-07 15:00:00,5,4.74
2020-04-07 18:00:00,5,4.73
2020-04-07 21:00:00,5,4.65
2020-04-08,5,5.22
2020-04-08 03:00:00,5,5.47
2020-04-08 06:00:00,5,2.56
2020-04-08 09:00:00,5,2.07
2020-04-08 12:00:00,5,2.55
2020-04-08 15:00:00,5,3.84
2020-04-08 18:00:00,5,4.19
2020-04-08 21:00:00,5,5.2
2020-04-09,5,5.11
2020-04-09 03:00:00,5,5.06
2020-04-09 06:00:00,5,5.05
2020-04-09 09:00:00,5,4.76
2020-04-09 12:00:00,5,4.81
2020-04-09 15:00:00,5,1.94
2020-04-09 18:00:00,5,3.8
2020-04-09 21:00:00,5,4.59
2020-04-10,5,4.55
2020-04-10 03:00:00,5,4.77
2020-04-10 06:00:00,5,4.55
2020-04-10 09:00:00,5,5.23
2020-04-10 12:00:00,5,4.64
2020-04-10 15:00:00,5,4.26
2020-04-10 18:00:00,5,4.21
2020-04-10 21:00:00,5,5.11
2020-04-11,5,5.77
2020-04-06,6,4.73
2020-04-06 03:00:00,6,5.18
2020-04-06 06:00:00,6,5
2020-04-06 09:00:00,6,4.42
2020-04-06 12:00:00,6,4.16
2020-04-06 15:00:00,6,1.31
2020-04-06 18:00:00,6,2.44
2020-04-06 21:00:00,6,4.82
2020-04-07,6,4.69
2020-04-07 03:00:00,6,5.01
2020-04-07 06:00:00,6,4.79
2020-04-07 09:00:00,6,4.94
2020-04-07 12:00:00,6,4.85
2020-04-07 15:00:00,6,4.76
2020-04-07 18:00:00,6,4.94
2020-04-07 21:00:00,6,4.84
2020-04-08,6,5.34
2020-04-08 03:00:00,6,5.28
2020-04-08 06:00:00,6,2.53
2020-04-08 09:00:00,6,2.16
2020-04-08 12:00:00,6,2.56
2020-04-08 15:00:00,6,3.86
2020-04-08 18:00:00,6,5.17
2020-04-08 21:00:00,6,5.24
2020-04-09,6,4.99
2020-04-09 03:00:00,6,5.51
2020-04-09 06:00:00,6,4.93
2020-04-09 09:00:00,6,4.69
2020-04-09 12:00:00,6,4.85
2020-04-09 15:00:00,6,2.25
2020-04-09 18:00:00,6,3.36
2020-04-09 21:00:00,6,4.84
2020-04-10,6,4.87
2020-04-10 03:00:00,6,4.65
2020-04-10 06:00:00,6,4.94
2020-04-10 09:00:00,6,5.12
2020-04-10 12:00:00,6,4.53
2020-04-10 15:00:00,6,5.05
2020-04-10 18:00:00,6,4.51
2020-04-10 21:00:00,6,4.89
2020-04-11,6,5.96
2020-04-06,7,4.84
2020-04-06 03:00:00,7,4.97
2020-04-06 06:00:00,7,4.95
2020-04-06 09:00:00,7,4.77
2020-04-06 12:00:00,7,4.28
2020-04-06 15:00:00,7,2.96
2020-04-06 18:00:00,7,3.36
2020-04-06 21:00:00,7,4.71
2020-04-07,7,4.67
2020-04-07 03:00:00,7,4.75
2020-04-07 06:00:00,7,4.46
2020-04-07 09:00:00,7,4.72
2020-04-07 12:00:00,7,4.51
2020-04-07 15:00:00,7,4.82
2020-04-07 18:00:00,7,4.65
2020-04-07 21:00:00,7,4.55
2020-04-08,7,5.25
2020-04-08 03:00:00,7,5.22
2020-04-08 06:00:00,7,5.4
2020-04-08 09:00:00,7,5.95
2020-04-08 12:00:00,7,4.97
2020-04-08 15:00:00,7,5
2020-04-08 18:00:00,7,5.03
2020-04-08 21:00:00,7,5.27
2020-04-09,7,5.2
2020-04-09 03:00:00,7,5.09
2020-04-09 06:00:00,7,4.94
2020-04-09 09:00:00,7,5.08
2020-04-09 12:00:00,7,4.89
2020-04-09 15:00:00,7,5.07
2020-04-09 18:00:00,7,4.53
2020-04-09 21:00:00,7,4.81
2020-04-10,7,4.66
2020-04-10 03:00:00,7,4.89
2020-04-10 06:00:00,7,4.7
2020-04-10 09:00:00,7,4.81
2020-04-10 12:00:00,7,4.74
2020-04-10 15:00:00,7,4.6
2020-04-10 18:00:00,7,4.63
2020-04-10 21:00:00,7,4.75
2020-04-11,7,5.77
2020-04-06,8,4.42
2020-04-06 03:00:00,8,4.25
2020-04-06 06:00:00,8,4.35
2020-04-06 09:00:00,8,4.37
2020-04-06 12:00:00,8,3.73
2020-04-06 15:00:00,8,3.06
2020-04-06 18:00:00,8,3.45
2020-04-06 21:00:00,8,4.09
2020-04-07,8,4.84
2020-04-07 03:00:00,8,4.88
2020-04-07 06:00:00,8,4.54
2020-04-07 09:00:00,8,4.74
2020-04-07 12:00:00,8,4.52
2020-04-07 15:00:00,8,4.73
2020-04-07 18:00:00,8,4.74
2020-04-07 21:00:00,8,4.7
2020-04-08,8,5.21
2020-04-08 03:00:00,8,5.41
2020-04-08 06:00:00,8,5.6
2020-04-08 09:00:00,8,5.71
2020-04-08 12:00:00,8,6.05
2020-04-08 15:00:00,8,4.61
2020-04-08 18:00:00,8,5.03
2020-04-08 21:00:00,8,5.27
2020-04-09,8,5.2
2020-04-09 03:00:00,8,5.09
2020-04-09 06:00:00,8,4.94
2020-04-09 09:00:00,8,5.59
2020-04-09 12:00:00,8,4.79
2020-04-09 15:00:00,8,5.7
2020-04-09 18:00:00,8,4.35
2020-04-09 21:00:00,8,4.81
2020-04-10,8,5.73
2020-04-10 03:00:00,8,4.98
2020-04-10 06:00:00,8,4.72
2020-04-10 09:00:00,8,4.65
2020-04-10 12:00:00,8,4.85
2020-04-10 15:00:00,8,4.51
2020-04-10 18:00:00,8,4.69
2020-04-10 21:00:00,8,4.7
2020-04-11,8,5.77
2020-04-06,9,4.62
2020-04-06 03:00:00,9,4.97
2020-04-06 06:00:00,9,4.69
2020-04-06 09:00:00,9,4.87
2020-04-06 12:00:00,9,3.01
2020-04-06 15:00:00,9,1.22
2020-04-06 18:00:00,9,2.56
2020-04-06 21:00:00,9,5.38
2020-04-07,9,4.8
2020-04-07 03:00:00,9,4.57
2020-04-07 06:00:00,9,4.32
2020-04-07 09:00:00,9,4.55
2020-04-07 12:00:00,9,4.3
2020-04-07 15:00:00,9,5.32
2020-04-07 18:00:00,9,4.81
2020-04-07 21:00:00,9,4.74
2020-04-08,9,5.31
2020-04-08 03:00:00,9,5.15
2020-04-08 06:00:00,9,5.16
2020-04-08 09:00:00,9,5.16
2020-04-08 12:00:00,9,6.21
2020-04-08 15:00:00,9,4.61
2020-04-08 18:00:00,9,5.03
2020-04-08 21:00:00,9,6.62
2020-04-09,9,4.86
2020-04-09 03:00:00,9,5.2
2020-04-09 06:00:00,9,4.92
2020-04-09 09:00:00,9,4.7
2020-04-09 12:00:00,9,5.12
2020-04-09 15:00:00,9,4.66
2020-04-09 18:00:00,9,4.67
2020-04-09 21:00:00,9,4.66
2020-04-10,9,4.51
2020-04-10 03:00:00,9,4.86
2020-04-10 06:00:00,9,4.9
2020-04-10 09:00:00,9,5.05
2020-04-10 12:00:00,9,5.09
2020-04-10 15:00:00,9,4.96
2020-04-10 18:00:00,9,4.62
2020-04-10 21:00:00,9,4.58
2020-04-11,9,5.77
2020-04-06,10,5
2020-04-06 03:00:00,10,5.2
2020-04-06 06:00:00,10,5.2
2020-04-06 09:00:00,10,5.08
2020-04-06 12:00:00,10,4.65
2020-04-06 15:00:00,10,4.51
2020-04-06 18:00:00,10,4.5
2020-04-06 21:00:00,10,5.07
2020-04-07,10,4.98
2020-04-07 03:00:00,10,4.97
2020-04-07 06:00:00,10,4.6
2020-04-07 09:00:00,10,5
2020-04-07 12:00:00,10,4.67
2020-04-07 15:00:00,10,4.99
2020-04-07 18:00:00,10,4.88
2020-04-07 21:00:00,10,4.81
2020-04-08,10,5.33
2020-04-08 03:00:00,10,5.33
2020-04-08 06:00:00,10,5.56
2020-04-08 09:00:00,10,4.55
2020-04-08 12:00:00,10,4.46
2020-04-08 15:00:00,10,4.61
2020-04-08 18:00:00,10,5.03
2020-04-08 21:00:00,10,5.27
2020-04-09,10,5.2
2020-04-09 03:00:00,10,5.31
2020-04-09 06:00:00,10,4.89
2020-04-09 09:00:00,10,5.03
2020-04-09 12:00:00,10,4.93
2020-04-09 15:00:00,10,5.12
2020-04-09 18:00:00,10,4.79
2020-04-09 21:00:00,10,4.83
2020-04-10,10,4.87
2020-04-10 03:00:00,10,4.94
2020-04-10 06:00:00,10,4.87
2020-04-10 09:00:00,10,4.9
2020-04-10 12:00:00,10,4.9
2020-04-10 15:00:00,10,4.91
2020-04-10 18:00:00,10,4.82
2020-04-10 21:00:00,10,4.98
2020-04-11,10,5.77
2020-04-06,11,5.12
2020-04-06 03:00:00,11,4.84
2020-04-06 06:00:00,11,5.15
2020-04-06 09:00:00,11,4.58
2020-04-06 12:00:00,11,4.17
2020-04-06 15:00:00,11,2.05
2020-04-06 18:00:00,11,2.65
2020-04-06 21:00:00,11,4.54
2020-04-07,11,5.02
2020-04-07 03:00:00,11,4.64
2020-04-07 06:00:00,11,4.08
2020-04-07 09:00:00,11,4.62
2020-04-07 12:00:00,11,4.16
2020-04-07 15:00:00,11,5.28
2020-04-07 18:00:00,11,4.51
2020-04-07 21:00:00,11,4.17
2020-04-08,11,5.23
2020-04-08 03:00:00,11,5.01
2020-04-08 06:00:00,11,4.46
2020-04-08 09:00:00,11,4.44
2020-04-08 12:00:00,11,4.43
2020-04-08 15:00:00,11,4.7
2020-04-08 18:00:00,11,4.76
2020-04-08 21:00:00,11,5.39
2020-04-09,11,5.43
2020-04-09 03:00:00,11,5.54
2020-04-09 06:00:00,11,4.84
2020-04-09 09:00:00,11,5.66
2020-04-09 12:00:00,11,5.02
2020-04-09 15:00:00,11,3.62
2020-04-09 18:00:00,11,3.84
2020-04-09 21:00:00,11,4.84
2020-04-10,11,4.73
2020-04-10 03:00:00,11,5.09
2020-04-10 06:00:00,11,5.04
2020-04-10 09:00:00,11,4.59
2020-04-10 12:00:00,11,4.63
2020-04-10 15:00:00,11,4.59
2020-04-10 18:00:00,11,4.8
2020-04-10 21:00:00,11,5.06
2020-04-11,11,5.77
2020-04-06,12,5.31
2020-04-06 03:00:00,12,5.23
2020-04-06 06:00:00,12,5.11
2020-04-06 09:00:00,12,5.27
2020-04-06 12:00:00,12,4.46
2020-04-06 15:00:00,12,4.02
2020-04-06 18:00:00,12,4.26
2020-04-06 21:00:00,12,4.95
2020-04-07,12,4.86
2020-04-07 03:00:00,12,5.05
2020-04-07 06:00:00,12,4.62
2020-04-07 09:00:00,12,4.88
2020-04-07 12:00:00,12,4.77
2020-04-07 15:00:00,12,4.97
2020-04-07 18:00:00,12,4.78
2020-04-07 21:00:00,12,4.64
2020-04-08,12,5.22
2020-04-08 03:00:00,12,5.08
2020-04-08 06:00:00,12,4.57
2020-04-08 09:00:00,12,4.57
2020-04-08 12:00:00,12,4.57
2020-04-08 15:00:00,12,4.59
2020-04-08 18:00:00,12,4.89
2020-04-08 21:00:00,12,5.16
2020-04-09,12,5.66
2020-04-09 03:00:00,12,5.29
2020-04-09 06:00:00,12,5.32
2020-04-09 09:00:00,12,5.48
2020-04-09 12:00:00,12,5.3
2020-04-09 15:00:00,12,5.51
2020-04-09 18:00:00,12,5.46
2020-04-09 21:00:00,12,5.42
2020-04-10,12,4.78
2020-04-10 03:00:00,12,4.9
2020-04-10 06:00:00,12,4.85
2020-04-10 09:00:00,12,4.91
2020-04-10 12:00:00,12,4.74
2020-04-10 15:00:00,12,4.6
2020-04-10 18:00:00,12,5
2020-04-10 21:00:00,12,4.75
2020-04-11,12,5.77
2020-04-06,13,4.28
2020-04-06 03:00:00,13,5.01
2020-04-06 06:00:00,13,4.16
2020-04-06 09:00:00,13,4.35
2020-04-06 12:00:00,13,3.39
2020-04-06 15:00:00,13,1.77
2020-04-06 18:00:00,13,2.4
2020-04-06 21:00:00,13,3.74
2020-04-07,13,4.17
2020-04-07 03:00:00,13,4.22
2020-04-07 06:00:00,13,4.15
2020-04-07 09:00:00,13,4.33
2020-04-07 12:00:00,13,3.9
2020-04-07 15:00:00,13,4.13
2020-04-07 18:00:00,13,4.34
2020-04-07 21:00:00,13,4.25
2020-04-08,13,4.92
2020-04-08 03:00:00,13,5.12
2020-04-08 06:00:00,13,4.08
2020-04-08 09:00:00,13,3.8
2020-04-08 12:00:00,13,3.83
2020-04-08 15:00:00,13,4.27
2020-04-08 18:00:00,13,4.71
2020-04-08 21:00:00,13,5.06
2020-04-09,13,4.89
2020-04-09 03:00:00,13,4.92
2020-04-09 06:00:00,13,4.85
2020-04-09 09:00:00,13,4.86
2020-04-09 12:00:00,13,4.69
2020-04-09 15:00:00,13,3.99
2020-04-09 18:00:00,13,3.98
2020-04-09 21:00:00,13,4.61
2020-04-10,13,4.93
2020-04-10 03:00:00,13,4.87
2020-04-10 06:00:00,13,4.89
2020-04-10 09:00:00,13,4.83
2020-04-10 12:00:00,13,4.94
2020-04-10 15:00:00,13,4.8
2020-04-10 18:00:00,13,4.72
2020-04-10 21:00:00,13,4.82
2020-04-11,13,5.79
2020-04-06,14,5.12
2020-04-06 03:00:00,14,5.4
2020-04-06 06:00:00,14,5.42
2020-04-06 09:00:00,14,5.26
2020-04-06 12:00:00,14,4.82
2020-04-06 15:00:00,14,4.18
2020-04-06 18:00:00,14,4.36
2020-04-06 21:00:00,14,5.06
2020-04-07,14,4.69
2020-04-07 03:00:00,14,4.86
2020-04-07 06:00:00,14,4.42
2020-04-07 09:00:00,14,4.56
2020-04-07 12:00:00,14,4.57
2020-04-07 15:00:00,14,4.72
2020-04-07 18:00:00,14,4.59
2020-04-07 21:00:00,14,4.7
2020-04-08,14,4.79
2020-04-08 03:00:00,14,4.86
2020-04-08 06:00:00,14,4.75
2020-04-08 09:00:00,14,4.73
2020-04-08 12:00:00,14,4.62
2020-04-08 15:00:00,14,4.61
2020-04-08 18:00:00,14,4.72
2020-04-08 21:00:00,14,5.01
2020-04-09,14,5.29
2020-04-09 03:00:00,14,5.15
2020-04-09 06:00:00,14,4.95
2020-04-09 09:00:00,14,5.08
2020-04-09 12:00:00,14,4.99
2020-04-09 15:00:00,14,4.92
2020-04-09 18:00:00,14,4.93
2020-04-09 21:00:00,14,5.03
2020-04-10,14,3.9
2020-04-10 03:00:00,14,4.89
2020-04-10 06:00:00,14,3.36
2020-04-10 09:00:00,14,3.75
2020-04-10 12:00:00,14,3.03
2020-04-10 15:00:00,14,3.42
2020-04-10 18:00:00,14,3.54
2020-04-10 21:00:00,14,3.95
2020-04-11,14,5.77
2020-04-06,15,4.58
2020-04-06 03:00:00,15,4.53
2020-04-06 06:00:00,15,4.61
2020-04-06 09:00:00,15,4.45
2020-04-06 12:00:00,15,4.16
2020-04-06 15:00:00,15,2.95
2020-04-06 18:00:00,15,3.54
2020-04-06 21:00:00,15,4.43
2020-04-07,15,5.09
2020-04-07 03:00:00,15,5.17
2020-04-07 06:00:00,15,5.12
2020-04-07 09:00:00,15,5.02
2020-04-07 12:00:00,15,4.97
2020-04-07 15:00:00,15,5.19
2020-04-07 18:00:00,15,5
2020-04-07 21:00:00,15,5.11
2020-04-08,15,5.74
2020-04-08 03:00:00,15,5.76
2020-04-08 06:00:00,15,5.13
2020-04-08 09:00:00,15,5.03
2020-04-08 12:00:00,15,4.99
2020-04-08 15:00:00,15,5.25
2020-04-08 18:00:00,15,5.58
2020-04-08 21:00:00,15,5.82
2020-04-09,15,4.96
2020-04-09 03:00:00,15,5.02
2020-04-09 06:00:00,15,5.08
2020-04-09 09:00:00,15,5.05
2020-04-09 12:00:00,15,5.09
2020-04-09 15:00:00,15,4.22
2020-04-09 18:00:00,15,4.35
2020-04-09 21:00:00,15,4.98
2020-04-10,15,3.64
2020-04-10 03:00:00,15,3.77
2020-04-10 06:00:00,15,3.53
2020-04-10 09:00:00,15,3.51
2020-04-10 12:00:00,15,3.51
2020-04-10 15:00:00,15,3.36
2020-04-10 18:00:00,15,3.74
2020-04-10 21:00:00,15,3.54
2020-04-11,15,5.68
2020-04-06,16,5
2020-04-06 03:00:00,16,5.1
2020-04-06 06:00:00,16,5.19
2020-04-06 09:00:00,16,4.6
2020-04-06 12:00:00,16,4.12
2020-04-06 15:00:00,16,1.4
2020-04-06 18:00:00,16,2.8
2020-04-06 21:00:00,16,4.67
2020-04-07,16,4.61
2020-04-07 03:00:00,16,4.89
2020-04-07 06:00:00,16,4.77
2020-04-07 09:00:00,16,4.36
2020-04-07 12:00:00,16,5.19
2020-04-07 15:00:00,16,4.99
2020-04-07 18:00:00,16,4.67
2020-04-07 21:00:00,16,4.44
2020-04-08,16,5.11
2020-04-08 03:00:00,16,5.1
2020-04-08 06:00:00,16,3.15
2020-04-08 09:00:00,16,3.5
2020-04-08 12:00:00,16,3.7
2020-04-08 15:00:00,16,4.38
2020-04-08 18:00:00,16,5.31
2020-04-08 21:00:00,16,5.37
2020-04-09,16,5.1
2020-04-09 03:00:00,16,4.94
2020-04-09 06:00:00,16,5.15
2020-04-09 09:00:00,16,5.18
2020-04-09 12:00:00,16,5.14
2020-04-09 15:00:00,16,3.02
2020-04-09 18:00:00,16,3.66
2020-04-09 21:00:00,16,3.96
2020-04-10,16,4.64
2020-04-10 03:00:00,16,4.97
2020-04-10 06:00:00,16,4.57
2020-04-10 09:00:00,16,4.77
2020-04-10 12:00:00,16,4.8
2020-04-10 15:00:00,16,4.86
2020-04-10 18:00:00,16,5.01
2020-04-10 21:00:00,16,4.67
2020-04-11,16,5.77
2020-04-06,17,4.83
2020-04-06 03:00:00,17,5.06
2020-04-06 06:00:00,17,4.83
2020-04-06 09:00:00,17,4.9
2020-04-06 12:00:00,17,4.69
2020-04-06 15:00:00,17,3.5
2020-04-06 18:00:00,17,3.69
2020-04-06 21:00:00,17,4.8
2020-04-07,17,4.1
2020-04-07 03:00:00,17,4.3
2020-04-07 06:00:00,17,4.03
2020-04-07 09:00:00,17,4.45
2020-04-07 12:00:00,17,4.07
2020-04-07 15:00:00,17,4.28
2020-04-07 18:00:00,17,4.46
2020-04-07 21:00:00,17,4.1
2020-04-08,17,5.5
2020-04-08 03:00:00,17,5.33
2020-04-08 06:00:00,17,5.66
2020-04-08 09:00:00,17,5.7
2020-04-08 12:00:00,17,5.61
2020-04-08 15:00:00,17,5.33
2020-04-08 18:00:00,17,5.27
2020-04-08 21:00:00,17,5.31
2020-04-09,17,4.24
2020-04-09 03:00:00,17,4.55
2020-04-09 06:00:00,17,4.37
2020-04-09 09:00:00,17,4.41
2020-04-09 12:00:00,17,4.59
2020-04-09 15:00:00,17,2.76
2020-04-09 18:00:00,17,3.46
2020-04-09 21:00:00,17,4.61
2020-04-10,17,4.87
2020-04-10 03:00:00,17,4.9
2020-04-10 06:00:00,17,5.03
2020-04-10 09:00:00,17,4.92
2020-04-10 12:00:00,17,4.74
2020-04-10 15:00:00,17,4.6
2020-04-10 18:00:00,17,4.95
2020-04-10 21:00:00,17,4.87
2020-04-11,17,5.77
2020-04-06,18,5.38
2020-04-06 03:00:00,18,5.73
2020-04-06 06:00:00,18,5.23
2020-04-06 09:00:00,18,5.44
2020-04-06 12:00:00,18,4.76
2020-04-06 15:00:00,18,4.62
2020-04-06 18:00:00,18,4.6
2020-04-06 21:00:00,18,5.41
2020-04-07,18,3.77
2020-04-07 03:00:00,18,3.65
2020-04-07 06:00:00,18,3.52
2020-04-07 09:00:00,18,3.94
2020-04-07 12:00:00,18,3.72
2020-04-07 15:00:00,18,3.93
2020-04-07 18:00:00,18,3.72
2020-04-07 21:00:00,18,3.88
2020-04-08,18,5.04
2020-04-08 03:00:00,18,4.89
2020-04-08 06:00:00,18,4.32
2020-04-08 09:00:00,18,4.28
2020-04-08 12:00:00,18,4.25
2020-04-08 15:00:00,18,4.37
2020-04-08 18:00:00,18,4.89
2020-04-08 21:00:00,18,5
2020-04-09,18,5.28
2020-04-09 03:00:00,18,5.07
2020-04-09 06:00:00,18,5.01
2020-04-09 09:00:00,18,5.18
2020-04-09 12:00:00,18,4.98
2020-04-09 15:00:00,18,4.78
2020-04-09 18:00:00,18,4.69
2020-04-09 21:00:00,18,4.78
2020-04-10,18,4.89
2020-04-10 03:00:00,18,5.03
2020-04-10 06:00:00,18,5.03
2020-04-10 09:00:00,18,5.06
2020-04-10 12:00:00,18,5.12
2020-04-10 15:00:00,18,4.83
2020-04-10 18:00:00,18,4.76
2020-04-10 21:00:00,18,5.06
2020-04-11,18,5.72
2020-04-06,19,4.09
2020-04-06 03:00:00,19,4.56
2020-04-06 06:00:00,19,4.23
2020-04-06 09:00:00,19,4.11
2020-04-06 12:00:00,19,3.39
2020-04-06 15:00:00,19,2.44
2020-04-06 18:00:00,19,2.9
2020-04-06 21:00:00,19,4.51
2020-04-07,19,4.24
2020-04-07 03:00:00,19,4.52
2020-04-07 06:00:00,19,4.24
2020-04-07 09:00:00,19,4.49
2020-04-07 12:00:00,19,4.49
2020-04-07 15:00:00,19,4.55
2020-04-07 18:00:00,19,4.4
2020-04-07 21:00:00,19,4.43
2020-04-08,19,5.54
2020-04-08 03:00:00,19,5.44
2020-04-08 06:00:00,19,5.06
2020-04-08 09:00:00,19,4.96
2020-04-08 12:00:00,19,4.96
2020-04-08 15:00:00,19,5.12
2020-04-08 18:00:00,19,5.59
2020-04-08 21:00:00,19,5.52
2020-04-09,19,5.38
2020-04-09 03:00:00,19,5.09
2020-04-09 06:00:00,19,5.09
2020-04-09 09:00:00,19,5.12
2020-04-09 12:00:00,19,5.19
2020-04-09 15:00:00,19,4.27
2020-04-09 18:00:00,19,4.46
2020-04-09 21:00:00,19,5.11
2020-04-10,19,5.02
2020-04-10 03:00:00,19,5.25
